Name,User Populariy,User Rating,Global Popularity,Global Rating,misc
Tate no Yuusha no Nariagari,9,7.222,1526943,7.97,383
Tenki no Ko,10,6.2,953469,8.29,384
The Last: Naruto the Movie,6,6.167,588192,7.79,385
Toki wo Kakeru Shoujo,3,7.667,775875,8.11,386
Tokyo Godfathers,7,8.143,282365,8.27,387
Toradora!,8,7.625,2149245,8.08,388
Vinland Saga Season 2,15,8.933,507220,8.82,389
Violet Evergarden Movie,6,8.167,568677,8.89,390
Yu☆Gi☆Oh! 5D's,1,7.0,137964,7.44,391
Yu☆Gi☆Oh! Duel Monsters GX,1,6.0,211961,7.20,392
Yu☆Gi☆Oh! Movie: Chou Yuugou! Toki wo Koeta Kizuna,1,7.0,47877,7.13,393
Yu☆Gi☆Oh! Zexal,1,6.0,75716,6.41,394
Yu☆Gi☆Oh! Zexal Second,1,6.0,39267,6.89,395
Yuri!!! on Ice,1,6.0,862341,7.90,396
"Jitsu wa Ore, Saikyou deshita?",1,7.0,99189,6.50,397
Nanatsu no Maken ga Shihai suru,1,8.0,108247,6.68,398
Suki na Ko ga Megane wo Wasureta,1,6.0,148532,6.89,399
Another,11,5.727,1626208,7.48,400
B: The Beginning,1,8.0,338517,7.17,401
Bokura wa Minna Kawai-sou,1,7.0,377434,7.66,402
Clannad,6,7.167,1386500,8.00,403
Clannad: After Story,5,8.8,1164082,8.93,404
Claymore,8,6.75,658025,7.74,405
Dumbbell Nan Kilo Moteru?,5,7.2,382161,7.25,406
Durarara!!x2 Ketsu,2,9.0,371183,8.06,407
Durarara!!x2 Shou,2,9.0,473994,7.98,408
Durarara!!x2 Ten,2,9.0,387739,7.97,409
Fantasy Bishoujo Juniku Ojisan to,2,5.0,161636,7.15,410
Fullmetal Alchemist,6,6.833,1441125,8.11,411
GetBackers,1,8.0,120857,7.58,412
Gin no Saji,2,7.0,287396,8.09,413
Happy Sugar Life,3,6.667,292656,6.78,414
Inu x Boku SS,1,7.0,495753,7.38,415
"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",6,4.167,247232,6.36,416
Isekai Shoukan wa Nidome desu,1,4.0,129789,5.67,417
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,3,3.333,93159,6.59,418
K,1,8.0,747105,7.43,419
K: Return of Kings,1,8.0,325352,7.56,420
Kaminaki Sekai no Kamisama Katsudou,3,5.333,150622,6.77,421
Kanojo mo Kanojo,6,6.167,344261,6.53,422
Karin,1,8.0,175971,7.11,423
Kengan Ashura,2,7.0,150432,7.45,424
Kengan Ashura Part 2,2,7.0,95292,7.68,425
Kenja no Mago,4,5.0,565311,6.62,426
Kotoura-san,2,6.5,331512,7.16,427
Level 1 dakedo Unique Skill de Saikyou desu,1,5.0,75206,6.28,428
Mahouka Koukou no Rettousei,5,5.2,1034934,7.40,429
Mahouka Koukou no Yuutousei,1,6.0,128059,6.66,430
Mahoutsukai no Yome,2,8.0,895040,8.06,431
Mamotte! Lollipop,1,6.0,25067,6.61,432
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",5,6.4,757404,7.37,433
Nazo no Kanojo X,5,7.0,306916,7.24,434
Okashi na Tensei,1,8.0,56048,6.72,435
Robotics;Notes,1,6.0,175806,7.32,436
Rosario to Vampire,2,6.0,672289,6.75,437
Rosario to Vampire Capu2,2,6.0,411563,6.90,438
Saikyou Onmyouji no Isekai Tenseiki,1,7.0,174859,7.18,439
Sakura Trick,1,6.0,257044,6.96,440
Sankarea,2,7.0,602281,7.28,441
"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",1,6.0,64015,7.04,442
Seto no Hanayome,1,10.0,322950,7.67,443
Shinigami Bocchan to Kuro Maid,3,7.333,226966,7.61,444
Shinigami Bocchan to Kuro Maid 2nd Season,1,8.0,63718,7.60,445
Tomo-chan wa Onnanoko!,7,7.857,340688,7.83,446
Tonari no Kaibutsu-kun,4,7.0,1052842,7.47,447
Tondemo Skill de Isekai Hourou Meshi,2,8.0,185801,7.68,448
Tonikaku Kawaii 2nd Season,2,8.5,220276,7.58,449
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,3,7.667,638964,6.99,450
Yamada-kun to Lv999 no Koi wo Suru,4,7.5,328692,7.84,451
Youjuu Toshi,4,6.0,53129,6.44,452
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,2,4.0,300837,6.82,453
Ousama Game The Animation,1,4.0,239526,5.06,454
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,5,7.6,363229,8.13,455
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,4,8.0,210775,8.83,456
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,3,5.0,223638,7.58,457
Kuzu no Honkai,3,6.333,669170,7.13,458
Nekomonogatari: Kuro,7,6.857,542538,7.93,459
Nisemonogatari,7,7.571,718138,8.14,460
Shuumatsu no Walküre,5,5.4,289940,6.76,461
Shuumatsu no Walküre II,2,8.0,97864,7.52,462
Shuumatsu no Walküre II Part 2,2,7.5,48862,7.57,463
Tengoku Daimakyou,7,7.0,378523,8.22,464
Watashi no Shiawase na Kekkon,3,5.667,193831,8.01,465
"""Oshi no Ko""",6,6.833,662466,8.77,466
Summertime Render,6,6.833,472734,8.50,467
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,11,6.909,552427,8.13,468
Aharen-san wa Hakarenai,4,6.0,314300,7.31,469
Araburu Kisetsu no Otome-domo yo.,3,6.667,328411,7.33,470
Asobi ni Iku yo!,1,5.0,198303,6.58,471
Asobi ni Iku yo!: Asobi ni Oide,1,6.0,47108,6.74,472
BNA,1,8.0,354037,7.35,473
Boku no Hero Academia (ONA),2,5.5,39625,6.82,474
Boku no Hero Academia the Movie 1: Futari no Hero Specials,1,5.0,129759,7.36,475
Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,1,5.0,171573,7.16,476
Boku no Hero Academia: Sukue! Kyuujo Kunren!,3,4.667,176888,7.23,477
Boku no Hero Academia: Training of the Dead,3,4.0,195027,7.22,478
Burn the Witch,3,5.667,226238,7.11,479
Dead Leaves,1,5.0,91772,7.21,480
Futoku no Guild,4,6.75,95880,6.57,481
Ganbare Douki-chan,1,7.0,103847,6.53,482
Gokushufudou,6,6.5,397830,7.23,483
Henkei Shoujo,2,8.0,28008,5.71,484
Hunter x Hunter Movie 1: Phantom Rouge,3,6.0,193580,7.27,485
Hunter x Hunter Movie 2: The Last Mission,3,6.0,174770,7.28,486
Hyouken no Majutsushi ga Sekai wo Suberu,2,5.5,138796,6.36,487
Ichigo Mashimaro,1,8.0,104587,7.63,488
Id:Invaded,2,7.5,353835,7.83,489
"Ijiranaide, Nagatoro-san 2nd Attack",6,6.0,257156,7.51,490
Inu ni Nattara Suki na Hito ni Hirowareta.,5,1.0,105260,5.10,491
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,4,5.0,700239,6.86,492
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,4,4.5,392512,6.72,493
Isekai Ojisan,5,7.6,317141,7.82,494
Kobayashi-san Chi no Maid Dragon,7,7.143,1200057,7.96,495
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",3,6.0,210195,7.72,496
Kobayashi-san Chi no OO Dragon,3,5.667,100531,7.24,497
Kono Bijutsu-bu ni wa Mondai ga Aru!,1,6.0,298144,7.18,498
Kono Subarashii Sekai ni Bakuen wo!,7,6.143,277576,7.50,499
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,4,7.5,357747,8.03,500
Kono Subarashii Sekai ni Shukufuku wo! Kono Subarashii Choker ni Shukufuku wo!,4,6.0,392259,7.84,501
Lv1 Maou to One Room Yuusha,2,6.5,49791,7.24,502
Lycoris Recoil,4,6.25,447440,8.19,503
Mahou Shoujo Magical Destroyers,2,5.0,64024,6.34,504
Majo no Tabitabi,2,8.0,381102,7.55,505
Maken-Ki!,3,5.0,287207,6.32,506
Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,4,7.0,101027,7.64,507
Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha,4,6.25,97823,7.37,508
Mushoku Tensei II: Isekai Ittara Honki Dasu,5,7.6,398828,8.44,509
Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz,4,6.0,115494,7.50,510
Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito,4,5.5,291880,7.11,511
Nanatsu no Taizai OVA,3,5.333,186181,7.50,512
Nekojiru-sou,5,5.6,77610,7.32,513
One Piece Movie 01,1,5.0,129054,7.09,514
One Punch Man 2nd Season Specials,3,5.0,126068,7.39,515
One Punch Man Specials,4,5.25,312406,7.70,516
One Punch Man: Road to Hero,3,4.333,317117,7.70,517
Ongaku,1,2.0,11566,7.58,518
Oniichan wa Oshimai!,2,7.5,128453,7.70,519
Panty & Stocking with Garterbelt,4,7.0,383119,7.72,520
Peter Grill to Kenja no Jikan,2,3.5,197777,5.52,521
Poputepipikku,2,4.5,219433,7.28,522
Promare,2,8.0,270825,7.93,523
Punch Line,1,7.0,229962,6.91,524
Puparia,4,7.25,47666,7.62,525
Rakudai Kishi no Cavalry,2,5.0,923684,7.44,526
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,2,7.5,249361,7.60,527
Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,1,8.0,284350,7.57,528
Renai Flops,2,4.5,122881,6.71,529
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8,6.375,579640,8.45,530
Steins;Gate: Oukoubakko no Poriomania,7,8.0,428914,8.29,531
Tensei shitara Ken deshita,4,5.75,244115,7.54,532
Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2,1,5.0,51223,7.14,533
Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,2,6.0,174831,7.64,534
Tensei shitara Slime Datta Ken OVA,2,6.0,220688,7.49,535
Tensei shitara Slime Datta Ken: Kanwa - Veldora Nikki,1,5.0,117259,6.72,536
Tribe Nine,1,7.0,44004,6.08,537
Trigun Stampede,4,6.25,156032,7.84,538
Uchuu Patrol Luluco,2,4.5,149171,7.54,539
Uramichi Oniisan,2,8.5,217233,7.70,540
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",3,6.333,317491,8.33,541
Wonder Egg Priority,7,6.714,725695,7.61,542
Wonder Egg Priority: Watashi no Priority,4,5.25,141475,5.12,543
Yofukashi no Uta,10,6.5,537502,7.99,544
Yuragi-sou no Yuuna-san,4,4.5,292973,7.00,545
"Yuusha, Yamemasu",1,6.0,276172,7.03,546
"Yuusha, Yamemasu: Kenshuu Ryokou wa Mokuteki wo Miushinau na",1,5.0,28735,6.53,547
Asobi Asobase,3,7.333,460608,8.19,548
Buddy Daddies,3,6.667,231375,8.15,549
Chuunibyou demo Koi ga Shitai!,4,6.0,1322416,7.71,550
Dark Gathering,2,5.0,86518,7.37,551
Gakkou no Kaidan,4,7.5,202214,7.74,552
Jashin-chan Dropkick,1,5.0,119538,7.03,553
Kuma Kuma Kuma Bear,1,6.0,153682,7.23,554
Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,2,6.0,146900,6.33,555
Concrete Revolutio: Choujin Gensou,1,3.0,88142,6.66,556
Trigun,5,5.8,739526,8.22,557
Xian Wang de Richang Shenghuo,6,4.667,306478,7.33,558
Aho Girl,4,5.5,483700,6.74,559
Ai no Utagoe wo Kikasete,1,8.0,90320,7.73,560
Air,1,7.0,294692,7.28,561
Akagami no Shirayuki-hime,3,7.0,655189,7.76,562
Akagami no Shirayuki-hime 2nd Season,2,8.5,349796,7.97,563
Akage no Anne,1,6.0,31768,7.78,564
Akatsuki no Yona,4,7.0,829138,8.03,565
Akebi-chan no Sailor-fuku,1,8.0,174122,7.69,566
Akkun to Kanojo,3,6.0,174627,6.83,567
Aldnoah.Zero,2,6.5,505649,7.39,568
Aldnoah.Zero Part 2,1,4.0,306094,6.92,569
Amagami SS,1,6.0,373493,7.29,570
Amagami SS+ Plus,1,6.0,166045,7.39,571
Amagi Brilliant Park,2,6.0,643305,7.46,572
Anne Happy♪,1,6.0,77820,6.95,573
Ansatsu Kyoushitsu 2nd Season,5,6.6,1384944,8.49,574
Ao no Exorcist: Kyoto Fujouou-hen,3,5.0,738138,7.35,575
Arifureta Shokugyou de Sekai Saikyou,4,4.5,668076,6.70,576
Arifureta Shokugyou de Sekai Saikyou 2nd Season,3,5.667,356638,7.18,577
Arte,1,7.0,126416,7.19,578
Assassins Pride,1,3.0,334145,5.93,579
Azumanga Daiou The Animation,3,6.667,338348,8.00,580
Bastard!! Ankoku no Hakaishin (ONA),1,4.0,63554,6.63,581
Ben-To,1,6.0,322719,7.20,582
"Benriya Saitou-san, Isekai ni Iku",1,7.0,141233,7.45,583
Berserk,5,3.2,350422,6.31,584
Berserk 2nd Season,3,3.0,178694,6.56,585
Berserk: Ougon Jidai-hen - Memorial Edition,2,6.0,35372,7.86,586
Black Lagoon,8,7.5,977018,8.03,587
Black Lagoon: Roberta's Blood Trail,6,7.333,290572,8.02,588
Black Lagoon: The Second Barrage,7,7.0,505229,8.17,589
Bleach Movie 1: Memories of Nobody,3,4.0,273878,7.43,590
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,3,4.333,242463,7.43,591
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,3,4.667,230334,7.50,592
Bleach Movie 4: Jigoku-hen,4,5.25,209091,7.62,593
Blend S,3,6.333,644409,7.27,594
Blue Dragon,1,5.0,53510,6.38,595
Blue Dragon: Tenkai no Shichi Ryuu,1,6.0,17602,6.53,596
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,3,5.333,270203,6.23,597
Boku no Kokoro no Yabai Yatsu,3,7.333,204473,8.26,598
Bokutachi wa Benkyou ga Dekinai,1,6.0,426691,7.28,599
Bokutachi wa Benkyou ga Dekinai!,1,6.0,290445,7.34,600
Canaan,2,6.0,226369,7.22,601
Carnival Phantasm,1,6.0,193777,7.87,602
Carole & Tuesday,2,8.5,319823,7.86,603
Carole & Tuesday Specials,1,5.0,6103,5.79,604
Carole & Tuesday: Gus to Roddy no Kaisouroku,1,6.0,5055,6.54,605
Chika Gentou Gekiga: Shoujo Tsubaki,6,2.0,62518,4.74,606
Chio-chan no Tsuugakuro,1,7.0,117110,7.45,607
Citrus,4,3.5,503765,6.45,608
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",1,7.0,260262,7.78,609
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",1,7.0,301272,7.93,610
Code Geass: Fukkatsu no Lelouch,4,7.0,305723,7.91,611
Cop Craft,1,2.0,115773,6.71,612
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,2,3.5,372807,6.43,613
D-Frag!,2,6.5,384813,7.51,614
Dagashi Kashi,2,6.5,446527,6.61,615
Dagashi Kashi 2,2,6.5,164482,6.83,616
Darker than Black: Kuro no Keiyakusha,4,6.25,928060,8.06,617
Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,1,6.0,138755,7.54,618
Darker than Black: Kuro no Keiyakusha Gaiden,1,8.0,253908,7.92,619
Darker than Black: Ryuusei no Gemini,2,4.5,406353,7.43,620
Darwin's Game,5,5.4,537102,7.23,621
Date A Bullet: Dead or Bullet,1,4.0,102252,7.57,622
Date A Bullet: Nightmare or Queen,1,4.0,68657,7.64,623
Date A Live,3,6.333,1004352,7.16,624
Date A Live II,2,5.5,621805,7.19,625
Date A Live III,2,5.5,379269,7.19,626
Deaimon,1,8.0,91225,7.56,627
Death March kara Hajimaru Isekai Kyousoukyoku,3,3.667,489933,6.45,628
Demi-chan wa Kataritai,2,6.5,407408,7.54,629
Detective Conan Movie 01: The Timed Skyscraper,1,7.0,70077,7.86,630
Detective Conan Movie 02: The Fourteenth Target,1,7.0,62343,7.88,631
Detective Conan Movie 03: The Last Wizard of the Century,1,7.0,64355,8.03,632
Detective Conan Movie 04: Captured in Her Eyes,1,7.0,60738,8.03,633
Detective Conan Movie 05: Countdown to Heaven,1,7.0,61933,8.12,634
Detective Conan Movie 06: The Phantom of Baker Street,1,8.0,75840,8.30,635
Detective Conan Movie 07: Crossroad in the Ancient Capital,1,7.0,50653,7.80,636
Detective Conan Movie 08: Magician of the Silver Sky,1,7.0,55164,8.06,637
Do It Yourself!!,1,7.0,100351,7.46,638
Doraemon (1979),2,5.0,61015,7.81,639
Dr. Stone: New World,7,7.0,394903,8.16,640
Drifters,3,8.333,552485,7.89,641
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,3,7.0,1484659,7.54,642
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,1,6.0,440065,7.07,643
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,3,6.0,788299,7.24,644
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,2,7.0,571478,7.46,645
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,1,7.0,182721,8.24,646
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,1,7.0,307484,7.72,647
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,1,7.0,208257,7.44,648
Edomae Elf,1,8.0,50548,7.30,649
"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀",1,6.0,127374,6.57,650
Eizouken ni wa Te wo Dasu na!,1,7.0,324796,8.13,651
Emiya-san Chi no Kyou no Gohan,1,7.0,127638,7.79,652
Eromanga-sensei,3,5.333,704269,6.35,653
Euphoria,1,1.0,80983,5.85,654
Eyeshield 21,1,8.0,179650,7.92,655
Fate/Apocrypha,1,7.0,466264,7.19,656
Fate/Grand Carnival,1,7.0,52185,7.78,657
Fate/Grand Order: First Order,1,5.0,212961,6.73,658
Fate/Grand Order: Moonlight/Lostroom,1,6.0,57394,6.31,659
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,1,6.0,85238,6.86,660
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,1,7.0,69662,7.59,661
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,1,7.0,70919,7.78,662
Fate/Grand Order: Zettai Majuu Sensen Babylonia,1,8.0,271457,7.94,663
Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter,1,6.0,67331,7.15,664
Fate/Prototype,1,6.0,110780,6.64,665
Fate/stay night,4,5.0,924292,7.28,666
Fate/strange Fake PV,1,7.0,9771,6.66,667
Fate/strange Fake: Whispers of Dawn,1,8.0,64259,8.24,668
Full Metal Panic!,1,7.0,487678,7.60,669
Full Metal Panic! Invisible Victory,2,6.5,96314,7.58,670
Full Metal Panic! The Second Raid,2,7.5,257310,7.92,671
Full Metal Panic? Fumoffu,1,8.0,291728,8.03,672
Fullmetal Alchemist: The Conqueror of Shamballa,1,6.0,325033,7.51,673
Fullmetal Alchemist: The Sacred Star of Milos,3,6.333,182818,7.26,674
Fumetsu no Anata e Season 2,2,8.0,255421,8.08,675
Gabriel DropOut,1,7.0,447177,7.44,676
Gamers!,5,4.6,636467,6.76,677
Gangsta.,2,5.0,565383,7.41,678
Gantz,4,4.75,351658,6.99,679
Gantz 2nd Stage,3,5.0,159814,7.03,680
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",3,5.333,784491,7.69,681
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",1,8.0,539694,7.72,682
Gibiate,1,1.0,66338,3.81,683
Gin no Saji 2nd Season,1,8.0,142835,8.27,684
Ginga Eiyuu Densetsu,1,10.0,310496,9.02,685
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,1,9.0,19534,8.29,686
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,1,8.0,82951,7.77,687
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,1,9.0,12462,8.27,688
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,1,8.0,28069,8.04,689
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,1,8.0,24156,8.15,690
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,1,8.0,24918,8.26,691
Gleipnir,3,4.333,472175,6.99,692
Goblin Slayer: Goblin's Crown,2,6.5,259015,7.27,693
God Eater,2,5.5,536805,7.20,694
Golden Kamuy 2nd Season,2,8.5,195173,8.24,695
Golden Kamuy 3rd Season,2,8.5,159244,8.45,696
Gunnm,2,7.0,59334,7.07,697
Hai to Gensou no Grimgar,3,7.333,713665,7.65,698
Hajimete no Gal,2,4.0,525753,6.28,699
Hakozume: Kouban Joshi no Gyakushuu,1,7.0,51601,7.18,700
Hanoka,1,1.0,5026,3.34,701
Hataraku Saibou,3,6.0,632639,7.55,702
Hataraku Saibou Black,2,6.5,218178,7.52,703
Hataraku Saibou!!,1,6.0,262640,7.36,704
Heion Sedai no Idaten-tachi,5,7.4,181133,7.64,705
Hellsing,5,7.0,705978,7.49,706
High Score Girl,2,7.5,251107,7.77,707
High Score Girl II,2,6.5,132555,7.97,708
High Score Girl: Extra Stage,1,8.0,72320,7.97,709
Highschool of the Dead,11,6.273,1471963,7.07,710
Higurashi no Naku Koro ni Gou,2,7.0,267173,7.20,711
Higurashi no Naku Koro ni Sotsu,2,4.0,107280,6.73,712
Himegoto,1,5.0,121621,5.89,713
Himouto! Umaru-chan R,3,4.667,250623,7.32,714
Himouto! Umaru-chanS,2,4.0,78154,7.02,715
Hinamatsuri (TV),2,5.0,495775,8.14,716
Hitoribocchi no Marumaru Seikatsu,1,7.0,213419,7.48,717
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,2,6.5,291161,7.99,718
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,2,6.5,199506,8.10,719
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,1,7.0,142632,8.07,720
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Recap,1,6.0,6517,6.92,721
Hunter x Hunter,5,6.8,573496,8.41,722
Hyakuren no Haou to Seiyaku no Valkyria,1,5.0,187833,5.69,723
Hyouka,5,6.4,1335480,8.07,724
Ibara no Ou,1,6.0,74124,6.89,725
Ichiban Ushiro no Daimaou,1,5.0,516175,6.74,726
Idol,1,8.0,23271,8.82,727
IS: Infinite Stratos,1,4.0,627753,6.63,728
IS: Infinite Stratos 2,1,3.0,385276,6.46,729
Isekai Quartet,1,7.0,376251,7.39,730
Isekai Quartet 2,1,7.0,228424,7.36,731
Isekai Quartet Movie: Another World,1,6.0,78094,7.48,732
Isekai wa Smartphone to Tomo ni.,2,3.0,542410,6.14,733
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,4,6.25,511228,7.54,734
Itou Junji: Collection,2,6.5,170023,6.48,735
Itou Junji: Collection - Tomie,1,4.0,38591,6.28,736
Iya na Kao sare nagara Opantsu Misete Moraitai,2,3.5,93033,5.73,737
Jahy-sama wa Kujikenai!,1,6.0,238590,7.04,738
